url,status_code,title,h1,canonical,page_type,current_theme,v2_template,notion_source,source_priority,preview_slug,uses_hs_form,uses_video_embed,notes
https://www.kuulu.fi/ihmiset/ville-pohjonen,200,Ville Pohjonen,Ville Pohjonen,https://www.kuulu.fi/ihmiset/ville-pohjonen,person-profile,legacy-vaalea,person-profile-v2,,live + brand,/v2-ihmiset-ville-pohjonen,no,yes,"Remove blog feed dependency, connect to video expertise."
https://www.kuulu.fi/projektinhallinta-tekoalylla-perjantaipulssi-17.4.2026-kuulu,200,Projektinhallinta tekoälyllä | Perjantaipulssi 17.4.2026 | Kuulu,Projektinhallinta tekoälyllä,https://www.kuulu.fi/projektinhallinta-tekoalylla-perjantaipulssi-17.4.2026-kuulu,training,cinematic-uusi,training-landing-v2,,live + brand,/v2-projektinhallinta-tekoalylla-perjantaipulssi,no,no,Campaign-style training page already near new direction.
https://www.kuulu.fi/case-studies/solar-kaihdin-kymmenkertaisti-verkkokauppamyynnin-kuulun-avulla,200,Solar Kaihdin kymmenkertaisti verkkokaupan myynnin jatkuvalla digimarkkinoinnilla,Solar Kaihdin kymmenkertaisti verkkokaupan myynnin jatkuvalla digimarkkinoinnilla,https://www.kuulu.fi/case-studies/solar-kaihdin-kymmenkertaisti-verkkokauppamyynnin-kuulun-avulla,reference-detail,muu/sekalainen,reference-detail-v2,,live,/v2-case-solar-kaihdin,no,no,Reference should highlight kitka -> ratkaisu -> tulos.
https://www.kuulu.fi/case-studies/kuulu-auttoi-elisaa-tavoittamaan-70000-nuorta-superdigikoululla,200,Kuulu auttoi Elisaa edistämään digitaalista hyvinvointia - SuperDigikoulu tavoitti 70 000 nuorta,Kuulu auttoi Elisaa edistämään digitaalista hyvinvointia - SuperDigikoulu tavoitti 70 000 nuorta,https://www.kuulu.fi/case-studies/kuulu-auttoi-elisaa-tavoittamaan-70000-nuorta-superdigikoululla,reference-detail,muu/sekalainen,reference-detail-v2,,live,/v2-case-elisa-superdigikoulu,no,no,Strong social proof for education and impact.
https://www.kuulu.fi/case-studies/kuulu-energiequelle-tehokas-visuaalinen-viestinta,200,Kuulu auttaa Energiequellea viestimään tehokkaasti,Kuulu auttaa Energiequellea viestimään tehokkaasti,https://www.kuulu.fi/case-studies/kuulu-energiequelle-tehokas-visuaalinen-viestinta,reference-detail,muu/sekalainen,reference-detail-v2,,live,/v2-case-energiequelle,no,no,Useful bridge between brand and visual production.
https://www.kuulu.fi/referenssit/vestera-oy-markkinoinnin-kumppanuus,200,"Asiakastarina - Vestera Oy: digimarkkinointi, blogitekstit, kohdevideot ja valokuvaus",Vestera Oy,https://www.kuulu.fi/referenssit/vestera-oy-markkinoinnin-kumppanuus,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-vestera,no,yes,Long-term partnership reference.
https://www.kuulu.fi/referenssit/haaga-helia-tekoalykuvapankki,200,Haaga-Helia Tekoälykuvapankki - Kuulun referenssit,Haaga-Helia,https://www.kuulu.fi/referenssit/haaga-helia-tekoalykuvapankki,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-haaga-helia,no,yes,Important AI visual production proof point.
https://www.kuulu.fi/ruokamies-sisaltopankki-ja-brandin-kirkastus-kiireiselle-kauppiaalle,200,Ruokamies – Sisältöpankki ja brändin kirkastus kiireiselle kauppiaalle,Brändin kirkastus ja sisältöpankki,https://www.kuulu.fi/ruokamies-sisaltopankki-ja-brandin-kirkastus-kiireiselle-kauppiaalle,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-ruokamies,no,yes,Good content engine case.
https://www.kuulu.fi/seta-vaikuttava-videoprojekti-nakyvyytta-sateenkaarijarjestoille,200,Seta: vaikuttava videoprojekti toi näkyvyyttä sateenkaarijärjestöille,Seta: vaikuttavalla videoprojektilla näkyvyyttä sateenkaarijärjestöille,https://www.kuulu.fi/seta-vaikuttava-videoprojekti-nakyvyytta-sateenkaarijarjestoille,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-seta,no,yes,Values-driven video impact case.
https://www.kuulu.fi/referenssit/akateeminen-kirjakauppa-brandin-tarinan-selkeytys,200,Akateeminen Kirjakauppa - Kuulun referenssit,Akateeminen Kirjakauppa,https://www.kuulu.fi/referenssit/akateeminen-kirjakauppa-brandin-tarinan-selkeytys/,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-akateeminen-kirjakauppa,no,yes,Strong Brand DNA / story case.
https://www.kuulu.fi/referenssit/sievinjalkine-cobrawoman-videotuotanto,200,Asiakastarina - Sievin Jalkineen Cobra Woman -videotuotanto,Sievi Cobra Woman,https://www.kuulu.fi/referenssit/sievinjalkine-cobrawoman-videotuotanto,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-sievi-cobra,no,yes,Video-led brand case.
https://www.kuulu.fi/referenssit/ruustinna-brandays-tarina-visuaalinen-ilme-ja-lanseerauskampanja,200,"K-market Ruukin Ruustinna-olut: brändi, tarina, visuaalinen ilme ja lanseerauskampanja - Kuulu",K-market Ruukin Ruustinna-olut,https://www.kuulu.fi/referenssit/ruustinna-brandays-tarina-visuaalinen-ilme-ja-lanseerauskampanja/,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-ruustinna,no,yes,Branding and launch case.
https://www.kuulu.fi/intersport-tripla-uskalla-olla-oma-itsesi,200,Intersport Tripla - Uskalla olla oma itsesi,Uskalla olla oma itsesi,https://www.kuulu.fi/intersport-tripla-uskalla-olla-oma-itsesi,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-intersport-tripla,no,yes,Campaign concept case.
https://www.kuulu.fi/referenssit/sievin-jalkine-digimarkkinointi,200,"Sievin Jalkine – jatkuva sisällöntuotanto, kuvat ja videot | Kuulu referenssi",Sievin Jalkine,https://www.kuulu.fi/referenssit/sievin-jalkine-digimarkkinointi/,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-sievin-jalkine,no,yes,Content + performance partnership case.
https://www.kuulu.fi/referenssit/nestor-cables-brandays-ja-yritysvideot,200,Nestor Cables - Kuulun referenssit,Nestor Cables,https://www.kuulu.fi/referenssit/nestor-cables-brandays-ja-yritysvideot,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-nestor-cables,no,yes,Brand and video combination case.
https://www.kuulu.fi/referenssit/lahitapiola,200,LähiTapiola referenssit,LähiTapiola,https://www.kuulu.fi/referenssit/lahitapiola,reference-detail,legacy-vaalea,reference-detail-v2,,live,/v2-case-lahitapiola,no,yes,Legacy reference to normalize into new case structure.
